name,layer,gateway_type,lat,lon
"Bras??lia, BR",South America,gateway,-15.9440139,-47.978775
"Bridgewater, CT - The Algo of Power GW",North America,gateway,41.545417,-73.354389
"Bristol, UK",Europe,gateway,51.7058,-2.401694
"Broadview, IL - The fr fr GW",North America,gateway,41.855028,-87.858944
"Broken Hill, NSW, AU (GSN#56)",APAC,gateway,-31.99829,141.4411
"Brooklyn Park, MN - The Purple Rain GW",North America,gateway,45.144028,-93.385778
"Brooks, AB, CA",North America,gateway,50.5701278,-111.9419889
"Brucejack, BC, CA",Community Gateways,community_gateway,56.465761,-130.186728
"Brunswick, ME | Mega",North America,gateway,43.8960833,-69.9234444
"Buenos Aires-Technopolis, AR | Mega",South America,gateway,-34.563634,-58.509623
"Bulla Bulling, WA, AU",APAC,gateway,-31.02985,120.81962
"Burbank, CA - The West Coast Best Coast GW",North America,gateway,34.200111,-118.343833
"Butte, MT - The Butte GW",North America,gateway,45.924389,-112.51327
"Cabo San Lucas, MX",North America,gateway,22.91283,-109.92577
"Cabrero, CL | Mega",South America,gateway,-36.625333,-72.176139
"Caldera, CL",South America,gateway,-27.02,-70.78797
"Caleta, DO",North America,gateway,18.45398,-69.66174
"Calgary, AB, CA - Balzac GW",North America,gateway,51.1818083,-113.9850389
"Calgary, AB, CA - Janet GW",North America,gateway,50.9988306,-113.9067333
"Calrossie, NSW, AU",APAC,gateway,-29.0579,150.04031
"Calverton, NY - Earth Go Hard GW",North America,gateway,40.908914,-72.797608
"Cama??ari, BR",South America,gateway,-12.74832,-38.28305
"Campana, Buenos Aires, AR",South America,gateway,-34.1531,-58.9582
"Canyonleigh, NSW, AU | Mega",APAC,gateway,-34.58374,150.15013
"Cape Canaveral, FL, US - The Full Send GW",Community Gateways,community_gateway,28.5434208,-80.6666377
"Cass County, ND",North America,gateway,47.15169444,-97.40888889
"Cataby, WA, AU",APAC,gateway,-30.84826,115.61927
"Caucaia, BR | Mega",South America,gateway,-3.7563417,-38.9379194
"Cebu(?), PH",APAC,gateway,10.296,123.922
"Centennial, CO - The Centennial GW,",North America,gateway,39.591889,-104.846944
"Chalfont Grove, UK",Europe,gateway,51.61549,-0.57577
"Chandigarh, IN",APAC,gateway,30.742,76.819
"Chantilly, VA - The Willy Nilly Chantilly GW",North America,gateway,38.910194,-77.472722
"Charcas, MX",North America,gateway,23.22612,-100.97915
"Charleston, OR / Bandon, OR | Mega",North America,gateway,43.2477105,-124.3839881
"Charleston, SC",North America,gateway,33.06029444,-80.03823056
"Chaska, MN - The Sad Saturday GW",North America,gateway,44.851,-93.598
"Chattanooga, TN - The Shady?€?s Corner GW",North America,gateway,35.031667,-85.2975
"Chennai, IN",APAC,gateway,13.074,80.312
"Cheyenne, WY",North America,gateway,41.12708333,-104.9024167
"Chicago, IL - Chicago Loop GW",North America,gateway,41.876139,-87.631944
"Chico, CA | Mega",North America,gateway,39.77536,-121.91987
"Chivilcoy, Buenos Aires, AR",South America,gateway,-34.9204,-60.0677
"Christchurch, NZ | Mega",APAC,gateway,-43.5587386,172.531418
"Cikarang Barat, ID - Almat GW | Mega",APAC,gateway,-6.306293,107.096755
"Cleavedon, NZ | Mega",APAC,gateway,-36.98995,175.05565
"Clinton, IL | Mega",North America,gateway,40.1764722,-88.8736667
"Cobargo, NSW, AU",APAC,gateway,-36.38863,149.8914
"Colburn, ID",North America,gateway,48.34525,-116.4393333
"Columbus, OH",North America,gateway,40.062602,-82.771037
"Conrad, MT - The Rad GW",North America,gateway,48.20325,-111.946972
"Corpus Christi, TX | Mega",North America,gateway,27.7931087,-97.4519272
"Covilha, PT",Europe,gateway,40.265294,-7.478251
"Cromwell, NZ",APAC,gateway,-45.061066,169.192756
"Crossfield, AB, CA",North America,gateway,51.4472056,-114.0217306
"Cuiab??, BR",South America,gateway,-15.6599028,-55.9829528
"Da Nang, VT",APAC,gateway,15.9792,108.298
"Dallas, TX - The First Rodeo | Mega",North America,gateway,32.719528,-96.761861
"Dallas, TX - The Mavs GW",North America,gateway,32.910778,-96.871472
"Darwin, NT, AU | Mega",APAC,gateway,-12.432,130.884556
"Debeque, CO | Mega",North America,gateway,39.28885,-108.20501
"Delta, UT - The Cosmic Ray GW",North America,gateway,39.346083,-112.589361
"Denver, CO - The LLAF GW",North America,gateway,39.745667,-104.995417
"Des Moines, IA",North America,gateway,41.54130556,-93.82580556
"Des Moines, NM | Mega",North America,gateway,36.69751,-103.79202
"Douglas, WY - I'm a Business, Man GW",North America,gateway,42.740139,-105.350417
"Dubois, ID - The InRange GW",North America,gateway,44.170361,-112.225139
"Dubuque, IA",North America,gateway,42.444611,-90.6785
"Duluth, MN - The Superior GW",North America,gateway,46.828083,-92.130417
"Dumas, TX",North America,gateway,35.80797222,-102.0318611
"Edison, NJ - The Midnight Cowboy GW",North America,gateway,40.521056,-74.345111
"Edmonton, AB, CA - Edmonton GW",North America,gateway,53.4244722,-113.7078611
"Egan, MN - The Boiler Room GW",North America,gateway,44.839333,-93.145639
"El Marques, MX",North America,gateway,20.76082,-100.33556
"Elbert, CO - Untz Untz GW",North America,gateway,39.291972,-104.505222
"Elfordstown, IE",Europe,gateway,51.9532,-8.17416
"Elkton, MD | Mega",North America,gateway,39.6308745,-75.9096542
"Evanston, WY - The Thou Shall Not Pass GW",North America,gateway,41.092306,-110.842361
"Fair Park, UT - The This is Fine GW",North America,gateway,40.766917,-111.921167
"Fairbanks, AK",North America,gateway,64.80516667,-147.5002222
"Falda del Carmen (Cordoba), AR",South America,gateway,-31.52249,-64.461
"Fawley, UK",Europe,gateway,50.823297,-1.337705
Flushing NY - The Game Set Match GW,North America,gateway,40.772,-73.834778
"Foggia-2, IT | Mega",Europe,gateway,41.433374,15.657053
"Fort Lauderdale, FL",North America,gateway,26.19086111,-80.19308333
"Fortaleza, BR | Mega",South America,gateway,-3.735322,-38.461675
"Fralklin Park, IL - The WMV GW",North America,gateway,41.928778,-87.857444
"Frankfurt, DE",Europe,gateway,50.3298,8.47082
"Frederick, MD",North America,gateway,39.39697222,-77.43663889
"Fremont, CA - The Plaid Mode GW",North America,gateway,37.492056,-121.936722
"Ft Lauderdale, FL - Miami Sloth GW",North America,gateway,26.191106,-80.193419
"Gaborone, BW | Mega",Africa,gateway,-24.587645,25.911362
"Gaffney, SC",North America,gateway,34.98530556,-81.73308333
"Galapagos, EC",Community Gateways,community_gateway,-0.7451734,-90.3154692
"Garrettstown, IE",Europe,gateway,51.64498,-8.58805
"Gazipur, BD | Mega",APAC,gateway,24.0661996,90.2334137
"Gelida, ES",Europe,gateway,41.438667,1.862452
"Goodyear, AZ - Estrella Mountain GW",North America,gateway,33.412128,-112.412853
"Goonhilly, UK",Europe,gateway,50.04964,-5.18143
"Gordon, GA - The Power Lines GW",North America,gateway,32.841056,-83.253833
"Grant District, WV - The Huntin Wabbits GW",North America,gateway,38.977972,-79.146556
"Greenville, PA",North America,gateway,41.43355556,-80.33322222
"Guarapari, BR",South America,gateway,-20.5578,-40.40863
"Hamshire, TX",North America,gateway,29.85986111,-94.31233333
"Harristown, QLD, AU | Mega",APAC,gateway,-27.582083,151.915278
"Harvey, WA, AU | Mega",APAC,gateway,-33.06775,115.801861
"Hawkins, TX - The Hawkins GW",North America,gateway,32.613583,-95.29975
"Hawthorne, CA #2",North America,gateway,33.9201458,-118.3322165
"Highland Ranch, CO - Highlands Ranch GW",North America,gateway,39.55,-105.033333
"Hillman, MI",North America,gateway,45.07325,-83.90041667
"Hillsboro, TX | Mega",North America,gateway,32.0044722,-97.06325
"Hinds, NZ",APAC,gateway,-44.007406,171.571735
"Hitachinaka, JP",APAC,gateway,36.38673,140.61372
"Hitterdal, MN",North America,gateway,46.979357,-96.258413
"Ho Chi Minh - Hi-Tech Park, VT",APAC,gateway,10.848559,106.800748
"Ho Chi Minh - Tan Huan, VT",APAC,gateway,10.7564,106.7484
"Hoo, UK",Europe,gateway,51.419024,0.573512
"Hoofddorp, NL (GSN#105)",Europe,gateway,52.290758,4.686589
"Howell, UT - The Full Send GW",North America,gateway,41.836639,-112.435194
"Hyderabad, IN",APAC,gateway,17.423,78.474
"Ibi, ES",Europe,gateway,38.60842,-0.6007
"Ikire, NG",Africa,gateway,7.3875,4.2124
"Imperatriz, BR | Mega",South America,gateway,-5.4249972,-47.4754667
"Indore, IN",APAC,gateway,22.678,75.86
"Inglewood, QLD, AU | Mega",APAC,gateway,-28.416463,151.094997
"Inman, KS | Mega",North America,gateway,38.229,-97.9219722
"Iqualuit, NU, CA",Community Gateways,community_gateway,63.75817,-68.53968
"Irvine, CA - The Zot! Zot! Zot! GW",North America,gateway,33.687222,-117.847861
"Isle of Man, UK | Mega",Europe,gateway,54.138964,-4.496817
"Itabora??, BR",South America,gateway,-22.69668,-42.87279
"Itaitinga, BR | Mega",South America,gateway,-3.8932222,-38.5080833
"Jashore, BD",APAC,gateway,23.1575,89.2215
"Jo??o C??mara, BR",South America,gateway,-5.54612,-35.81701
Juazeiro do Norte. BR,South America,gateway,-7.2151194,-39.3367222
"Kahnawake, QC, CA - Kahanawake GW",North America,gateway,45.40165,-73.6396
"Kalama, WA",North America,gateway,46.0389722,-122.8082222
"Kauai, HI - I am McLovin GW",North America,gateway,21.999361,-159.378028
"Kaunas, LT",Europe,gateway,54.87,24.01
"Kenansville, FL | Mega",North America,gateway,27.8760056,-81.0304861
"Kendari, ID",APAC,gateway,-3.977445,122.511309
"Kent, WA - The Cascade GW",North America,gateway,47.421056,-122.248139
"Ketchikan, AK",North America,gateway,55.3737,-131.7189889
"Ki Ki, SA, AU",APAC,gateway,-35.57172,139.8174
"Kidman Park, SA, AU | Mega",APAC,gateway,-34.9089,138.5327
"Kigali, RW",Africa,gateway,-1.967893,30.135317
"Kigali, RW",Community Gateways,community_gateway,-1.9445274,30.0896123
"Killala, IE",Europe,gateway,54.194077,-9.2114458
"Kolkata, IN",APAC,gateway,22.511,88.358
"Koonwarra, VIC, AU",APAC,gateway,-38.51812,145.95145
"Krosrae, Micronesia",Community Gateways,community_gateway,5.3253902,163.0126326
"Kuala Lumpur(?), MY",APAC,gateway,3.0203,101.3666
"Kuparuk, AK",North America,gateway,70.3176667,-148.9411944
"Kuujjuaq, QC, CA",Community Gateways,community_gateway,58.1097412,-68.3958043
"La Plata, Buenos Aires, AR",South America,gateway,-34.9213,-57.9545
"Las Condes, CL | Mega",South America,gateway,-33.406611,-70.492628
"Lauro de Freitas, BR | Mega",South America,gateway,-12.8279778,-38.3539833
"Lawrence, KS",North America,gateway,39.01388889,-95.14938889
"Lekki, NG",Africa,gateway,6.449526175,3.587733892
"Lepe, ES",Europe,gateway,37.255557,-7.236135
"Leuk, CH",Europe,gateway,46.317491,7.646044
"Lihir, PG",Community Gateways,community_gateway,-3.106,152.653
"Lima-2, PE",South America,gateway,-12.086933,-76.975218
"Limache, CL | Mega",South America,gateway,-32.973806,-71.295694
"Lindon, UT - The Gong GW",North America,gateway,40.332722,-111.731167
"Lisle, IL - The ChiTown GW",North America,gateway,41.800642,-88.096092
Litchfield CT,North America,gateway,41.54502778,-73.35402778
"Lithia Springs, GA - The Georgia Peaches GW",North America,gateway,33.745917,-84.5795
"Llano Grande, MX",North America,gateway,19.25892,-99.58115
"Lobatse, BW | Mega",Africa,gateway,-25.259502,25.705696
"Lockport, NY",North America,gateway,43.16655556,-78.75511111
"Loeches (Madrid), ES | Mega",Europe,gateway,40.400965,-3.405882
"Loring, ME",North America,gateway,46.91491667,-67.91952778
"Los Angeles, CA - Anotha One' in GW",North America,gateway,33.924306,-118.318444
"Los Angeles, CA - The Lebron GW",North America,gateway,34.047861,-118.255667
"Los Angeles, CA - The Send it! GW",North America,gateway,34.058056,-118.235417
"Los Angeles, CA - Yet Another HT GW",North America,gateway,33.924056,-118.321028
"Lucknow, IN",APAC,gateway,26.881,80.91
"Lunenberg, VT",North America,gateway,44.41202778,-71.73183333
"Luz, BR",South America,gateway,-19.80334,-45.68113
"Lynnwood, WA - Mountain is Out GW",North America,gateway,47.841694,-122.300944
"Macquarie Park, NSW, AU | Mega",APAC,gateway,-33.785441,151.131806
"Madera, CA - The Madera GW",North America,gateway,36.858778,-119.9105
"Majura, ACT, AU | Mega",APAC,gateway,-35.318363,149.245865
"Makassar, ID",APAC,gateway,-5.173028,119.43325
"Malaga, WA, AU | Mega",APAC,gateway,-31.864147,115.895866
"Manaus, BR",South America,gateway,-2.92674,-59.99778
"Mandale, NC",North America,gateway,35.895778,-79.226722
"Manistique, MI",North America,gateway,45.90861111,-86.48358333
"Marathon, FL - The Florida Keys GW",North America,gateway,24.713444,-81.087694
"Marathon, ON, CA (GSN-19)",North America,gateway,48.7253692,-86.3745279
"Marcell, MN",North America,gateway,47.59316667,-93.69252778
"Marsala, IT",Europe,gateway,37.794324,12.493115
"Marshall, TX | Mega",North America,gateway,32.53225,-94.4303056
"Matola, MZ | Mega",Africa,gateway,-25.920692,32.415005
"Mazahua, MX",North America,gateway,16.60965,-94.96423
"McGregor, TX",North America,gateway,31.4049167,-97.4381389
"Medellin(?), CO",South America,gateway,6.106,-75.498
"Mendoza, AR | Mega",South America,gateway,-32.931488,-68.81049
"Merauke, ID",Community Gateways,community_gateway,-8.488211,140.387901
"Merida, MX",North America,gateway,21.007372,-89.643944
"Merredin, WA, AU | Mega",APAC,gateway,-31.495634,118.283286
"Merrillan, WI",North America,gateway,44.40633333,-90.81427778
"Mesa, AZ - The Booker GW",North America,gateway,33.421167,-111.85925
"Miami, FL - Club Space GW",North America,gateway,25.782647,-80.193158
"Miami, FL - ULTRA Are You Ready GW",North America,gateway,25.7915,-80.379694
"Milan, IT | Mega",Europe,gateway,45.475003,9.038742
"Milwaukee, WI - The Cheese Head GW",North America,gateway,43.15125,-88.008778
"Minneapolis, MN - Winter is Coming GW",North America,gateway,44.970889,-93.254389
"Molokai, HI",North America,gateway,21.1127,-157.06323
"Monterey, MX",North America,gateway,25.77016,-100.30188
"Montes Carlos, BR",South America,gateway,-16.68367,-43.83329
"Montreal, QC, CA - St Laurent GW",North America,gateway,45.487636,-73.742378
"Morn Hill, UK",Europe,gateway,51.060168,-1.263883
"Mossor??, BR",South America,gateway,-5.15695,-37.35373
"Mt Ayr, IN | Mega",North America,gateway,40.9264444,-87.2953611
